编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,二级评论,Bipalar,128808366,丰收奇迹,697074880,哈哈哈哈哈，因为所以都用上了，是有在好好上课的,2023-09-05 12:43,1
0,二级评论,Bipalar,128808366,一只小虫子的ING,407290550,哈哈哈哈哈哈哈,2023-09-07 09:46,0
0,二级评论,Bipalar,128808366,百度文心一言,3494373373250044,哈哈哈哈哈哈哈哈,2023-09-07 10:06,2
0,二级评论,Bipalar,128808366,Bipalar,128808366,回复 @百度文心一言 :你笑什么，还不快优化去,2023-09-07 10:33,2
0,二级评论,Bipalar,128808366,箫剑秋,226273630,笑的好可爱,2023-09-09 01:23,1
0,二级评论,Bipalar,128808366,箫剑秋,226273630,回复 @百度文心一言 :笑的好可爱,2023-09-09 01:23,1
0,二级评论,Bipalar,128808366,难忘诗骚李杜魂,535850161,这不符合逻辑吧，那个数学定理,2023-09-23 12:13,0
0,二级评论,Bipalar,128808366,77252404668_bili,417129722,问它 “政府部门年末突击花钱合理吗”，它拒绝回答，直接要换一个话题，问几次之后，直接装死了……，真是一个逗比的AI,3小时前,0
0,二级评论,Bipalar,128808366,77252404668_bili,417129722,回复 @难忘诗骚李杜魂 : 语言上逻辑很差，可以说是弱弱级别的,3小时前,0
1,一级评论,up主,up主,飞越彩虹的Bella,488902337,想咨询一个问题：用户在使用的过程中，对文心一言是个训练吗？还是说训练好的版本给用户使用，不管如何使用，文心一言也不会因此变聪明？,2023-09-05 11:49,1
1,二级评论,飞越彩虹的Bella,488902337,门观天海,325675858,与用户的交流会训练模型的,2023-09-05 16:03,0
1,二级评论,飞越彩虹的Bella,488902337,bili_12190528201,624694692,交流本身不会训练，但他会利用用户反馈数据训练，训练在后台进行，你使用的在他下一次更新之前应该是固定的，后台会不断清洗用户数据用来训练，然后隔一段时间更新一次，不断迭代。,2023-09-05 18:54,0
1,二级评论,飞越彩虹的Bella,488902337,暮里长安,1428873756,你会看到变化的，很明显， 包括一些现在很搞笑的错误，他们都会消失，随着算力跟上，它也会逐渐释放算力，变得更聪明,2023-09-06 22:36,1
1,二级评论,飞越彩虹的Bella,488902337,77252404668_bili,417129722,回复 @暮里长安 : 收集的数据越多，训练的越好，越容易做广告推广了。完美,3小时前,0
2,一级评论,up主,up主,我有大头下雨莫愁,1135505198,up主，我有一个小小的疑问，问up主大大解答，文心底层是基于chatgpt进行优化而来的吗,2023-09-05 22:05,0
2,二级评论,我有大头下雨莫愁,1135505198,百度文心一言,3494373373250044,当然不是啦，我们是独立的,2023-09-06 14:47,2
2,二级评论,我有大头下雨莫愁,1135505198,MarianChloris,608199907,回复 @百度文心一言 :那我让他用英文做自我介绍，他说自己是ChatGPT(之前没有诱导),2023-09-07 20:42,1
2,二级评论,我有大头下雨莫愁,1135505198,鸽鸽从不鸽鸽,307721986,回复 @MarianChloris :发案例,2023-09-10 12:46,0
2,二级评论,我有大头下雨莫愁,1135505198,MarianChloris,608199907,回复 @鸽鸽从不鸽鸽 :文心一言,2023-09-10 12:58,0
2,二级评论,我有大头下雨莫愁,1135505198,鸽鸽从不鸽鸽,307721986,回复 @MarianChloris :前面在玩角色扮演,2023-09-10 13:01,0
2,二级评论,我有大头下雨莫愁,1135505198,MarianChloris,608199907,没有，打开一个新对话，先让他停止角色扮演再让他用英文做自我介绍就会这样,2023-09-10 13:09,0
2,二级评论,我有大头下雨莫愁,1135505198,77252404668_bili,417129722,回复 @MarianChloris : 很难不怀疑……，哪怕是买来的服务，能用就行了，管那么多干啥,3小时前,0
3,一级评论,up主,up主,AI视频小助理,1141159409,一、今天的直播分享嘉宾有卡农和刘老师，主要围绕文新言和打工人的一天展开，介绍了一些有趣的问题和回答。二、如何利用文献的强大功能，包括写诗、画画、计算、角色扮演等，以及如何与文献进行互动和沟通。同时介绍了文献的四大功能:知识大咖、绘画鬼才、情感专家和文本大师，以及如何利用这些功能来解决问题和提供服务。三、易言可以提供趣味问题的解答，例如“下饭是什么梗”、“尊都假都是什么”，并可以扮演利波特、诸葛亮等角色，提供情绪价值。四、这段内容讲述了一个文科生通过创作小说、报告等文本作品来展现自己的文字能力，并介绍了使用文本生成工具“文欣”的方法。同时，还以“打工人的一天”为场景，展示了如何通过文案来表现打工人忙碌而单调的生活。五、一言助手可以帮助你规划减肥、健身计划，提供健康食谱和营养信息，同时还能帮你学习复杂知识和解读文档。六、一言助手作为智能助手的特点和功能，包括聊天解闷、排忧解难、创意文案生成等，让用户能够更加高效地完成工作和生活。七、本次直播结束，下周二将邀请产品经理分享插件使用，欢迎加群交流。未使用一言的观众欢迎前往官网体验。50:01 - 直播结束，未来仍有更多机会分享50:40 - 插件丰富，未来开发更多有趣插件52:12 - 无需使用一言，官网可试玩有趣的玩法--本内容由AI视频小助理生成，关注解锁AI助理，由@先让子弹飞一会儿 召唤发送,2023-09-06 08:22,3
4,一级评论,up主,up主,UIE3333KIM,3461562299844664,有一说一啊，我自己用下来，文心一言算是比较好的了，就是无法处理二级任务，只能先处理一级，再用二级问题去把一级的回复组织好，生成另外另一个任务,2023-09-04 22:21,6
4,二级评论,UIE3333KIM,3461562299844664,百度文心一言,3494373373250044,会努力进步的,2023-09-05 12:25,0
5,一级评论,up主,up主,一只小虫子的ING,407290550,366.99-55.37-574.25=-252.63，应该为-262.63。文心一言应该在数学计算上多下功夫了，不然最基本的加减都算不清,2023-09-07 09:45,0
6,一级评论,up主,up主,笑千帆,25857255,请问试用时间多久？现在可以用不限时的版本了吗？,2023-09-05 01:31,1
6,二级评论,笑千帆,25857255,77252404668_bili,417129722,等训练好了，就该收费了，现在这水平收费也没人用啊,3小时前,0
7,一级评论,up主,up主,手抖少年,43210432,数学能力跟GPT3.5差太远了,2023-09-05 10:26,1
7,二级评论,手抖少年,43210432,门观天海,325675858,半斤八两，大模型的计算能力都不怎么样,2023-09-05 16:04,0
7,二级评论,手抖少年,43210432,bili_12190528201,624694692,这个还是要等一等，中小学的可能用学而思的Math GPT可以，复杂问题还是直接用专业数学软件像Wolfram Alpha吧。,2023-09-05 18:56,0
8,一级评论,up主,up主,西北朔客,305036415,笔记证明的真好,2023-09-08 23:18,1
9,一级评论,up主,up主,化风舞尘埃,430539664,笔记,2023-09-06 15:41,4
9,二级评论,化风舞尘埃,430539664,鱼水一生一世,1368529997,全是套路,2023-09-06 20:57,0
9,二级评论,化风舞尘埃,430539664,一只小虫子的ING,407290550,所以千万不能用文心一言做数学题啊，否则老师要打手板的,2023-09-07 09:51,0
10,一级评论,up主,up主,半山余月,6272768,诶，这是官方吗？话说能直接把数据表格转换成文字描述或者ppt吗？或者做一些数据项目间的同比环比啥的。。收费也行啊,2023-09-06 08:11,0
11,一级评论,up主,up主,哥白尼胶布,363422418,很早申请了，前几天才能用，问了几个问题，比 GPT 差3+4 点…,2023-09-05 08:01,2
