编号,隶属关系,被评论者昵称,被评论者ID,昵称,用户ID,评论内容,发布时间,点赞数
0,一级评论,up主,up主,雪飞酱,276207,好笑的是，openai的华人员工里，有百度的离职员工,2023-03-17 23:36,2982
0,二级评论,雪飞酱,276207,虚無空界,477139601,淮南，橘子，后面忘了,2023-03-17 23:52,634
0,二级评论,雪飞酱,276207,再卖萌就死,392835,百度是这样的…… 功让给别人，shi自己吃。,2023-03-17 23:55,256
0,二级评论,雪飞酱,276207,改名_6_枚币,392852807,回复 @虚無空界 :原文：淮南，橘子，甜；淮北，枳，苦,2023-03-18 00:00,305
0,二级评论,雪飞酱,276207,虚無空界,477139601,淮南，橘子，后面忘了,2023-03-17 23:52,634
0,二级评论,雪飞酱,276207,能天使exia,282146749,百度?只能说该背时，落后产能早该淘汰了,2023-03-17 23:52,104
0,二级评论,雪飞酱,276207,再卖萌就死,392835,百度是这样的…… 功让给别人，shi自己吃。,2023-03-17 23:55,256
0,二级评论,雪飞酱,276207,改名_6_枚币,392852807,回复 @虚無空界 :原文：淮南，橘子，甜；淮北，枳，苦,2023-03-18 00:00,305
0,二级评论,雪飞酱,276207,亚当斯疏,57242441,回复 @改名_6_枚币 :好,2023-03-18 00:02,8
0,二级评论,雪飞酱,276207,对牛头人特攻,249324,回复 @虚無空界 :南橘北枳是吧,2023-03-18 00:05,11
0,二级评论,雪飞酱,276207,妙娃中子,22696851,百度确实是最有机会成为AI领导者的中国企业，但是如果李彦宏真的这么干了，百度大概率会像乐视一样倒下。当然百度现在专注自动驾驶了，也不算虚度光阴吧。,2023-03-18 00:06,150
0,二级评论,雪飞酱,276207,尼禄·克劳狄乌斯,320555,是百度向社会输出的人才,2023-03-18 00:09,83
0,二级评论,雪飞酱,276207,YellowMiddleFish,252410469,百度是AI和自动驾驶的黄埔军校，从百度离职的员工撑起了中国人工智能和自动驾驶的半边天，这句话不是随便说说的～,2023-03-18 00:17,257
0,二级评论,雪飞酱,276207,ThreeCats-三只猫,406082366,百度以前首席还是ai课程独一档的andrew ng呢,2023-03-18 00:21,53
